                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0074,                 2.2187,                 1.0375,                0.93448,                0.83667,                0.91568,                 0.6902,                0.84814,                0.76057,                 0.9172,             0.00020669,             0.00020669,             0.00020669
                      2,                0.93153,                0.87378,                0.99945,                0.89158,                0.86206,                0.91833,                0.70196,                0.84843,                0.61932,                0.92547,             0.00039859,             0.00039859,             0.00039859
                      3,                0.92693,                 0.7842,                 1.0131,                0.97212,                0.86424,                0.94734,                0.70071,                0.87715,                0.61025,                 0.9501,             0.00057399,             0.00057399,             0.00057399
                      4,                0.92906,                0.71291,                 1.0097,                0.93248,                0.87898,                0.93828,                0.71018,                0.84079,                0.58761,                 0.9344,             0.00055075,             0.00055075,             0.00055075
                      5,                0.91319,                0.66433,                0.99002,                0.95379,                0.90461,                 0.9463,                0.73846,                0.83753,                0.53133,                0.93831,               0.000526,               0.000526,               0.000526
                      6,                0.86365,                0.60863,                0.97465,                0.95771,                0.92891,                0.95208,                0.74765,                0.81071,                0.49265,                0.90801,             0.00050125,             0.00050125,             0.00050125
                      7,                0.85802,                0.56789,                0.96331,                0.94781,                0.91133,                0.95563,                0.75436,                0.76595,                0.48695,                0.90332,              0.0004765,              0.0004765,              0.0004765
                      8,                0.82394,                0.53583,                0.95871,                0.96896,                0.90805,                0.96225,                0.76658,                0.75773,                0.47548,                0.89339,             0.00045175,             0.00045175,             0.00045175
                      9,                0.82563,                0.52734,                0.95099,                0.96151,                0.91435,                0.95301,                0.76744,                 0.7364,                0.44261,                0.89453,               0.000427,               0.000427,               0.000427
                     10,                0.78846,                0.50995,                0.94575,                0.96524,                0.94942,                0.96221,                0.76933,                0.73302,                0.41813,                0.88804,             0.00040225,             0.00040225,             0.00040225
                     11,                0.78052,                0.48397,                0.94059,                0.96914,                0.94141,                0.96829,                0.78361,                0.70989,                0.41439,                 0.8884,              0.0003775,              0.0003775,              0.0003775
                     12,                0.76951,                0.46554,                 0.9378,                0.96423,                0.95984,                0.97054,                0.79241,                0.72221,                0.38354,                0.87707,             0.00035275,             0.00035275,             0.00035275
                     13,                0.77505,                0.45454,                0.93069,                0.97264,                0.95456,                0.96889,                0.77808,                0.71588,                0.39227,                0.88029,               0.000328,               0.000328,               0.000328
                     14,                0.75556,                0.43869,                0.92956,                0.96283,                0.95155,                0.97144,                0.79166,                0.69286,                0.37063,                0.87513,             0.00030325,             0.00030325,             0.00030325
                     15,                0.73335,                0.43368,                0.93086,                0.97542,                0.94689,                0.97206,                0.78909,                0.69198,                 0.3647,                0.86662,              0.0002785,              0.0002785,              0.0002785
                     16,                0.71354,                0.39474,                0.90861,                0.97463,                 0.9499,                0.97142,                0.80149,                0.68572,                0.36484,                 0.8691,             0.00025375,             0.00025375,             0.00025375
                     17,                0.71024,                0.38324,                0.90964,                0.97395,                0.96026,                 0.9738,                0.79423,                0.68237,                0.35683,                0.86706,               0.000229,               0.000229,               0.000229
                     18,                0.69731,                0.38067,                0.90207,                0.98104,                 0.9558,                0.98055,                0.82487,                0.64964,                0.34721,                0.85899,             0.00020425,             0.00020425,             0.00020425
                     19,                0.67759,                 0.3644,                0.89577,                0.96684,                0.96067,                0.97941,                0.82155,                0.64457,                0.33563,                0.86196,              0.0001795,              0.0001795,              0.0001795
                     20,                0.66361,                0.35434,                0.88859,                0.95651,                 0.9633,                0.97843,                0.82829,                0.64374,                0.32247,                0.85733,             0.00015475,             0.00015475,             0.00015475
                     21,                0.65225,                0.34201,                 0.8814,                0.97485,                0.96093,                0.98037,                0.82367,                0.63986,                0.32422,                0.86165,                0.00013,                0.00013,                0.00013
                     22,                0.64678,                 0.3385,                 0.8873,                 0.9643,                 0.9678,                0.97492,                0.83141,                0.61406,                0.31021,                0.85308,             0.00010525,             0.00010525,             0.00010525
                     23,                0.62618,                0.33086,                0.88154,                0.97391,                0.95676,                0.97471,                0.83503,                0.61365,                0.30399,                0.85212,               8.05e-05,               8.05e-05,               8.05e-05
                     24,                0.61785,                0.32043,                0.87326,                0.97478,                0.96026,                0.97587,                0.83212,                0.60352,                 0.2971,                0.85221,              5.575e-05,              5.575e-05,              5.575e-05
                     25,                0.60562,                0.31685,                0.86461,                0.98312,                0.96348,                0.98047,                0.83476,                0.60078,                0.29397,                0.84781,                3.1e-05,                3.1e-05,                3.1e-05
